,composition,pretty_composition,parent_guess,materials_project_id,tc,debyet,elecspecheat,unit_elecspecheat,neelt,a1,a2,b1,b2,c1,d1,d2,e1,e2,f1,f2,g1,g2,h1,h2,i1,i2,o1,o2,o_empirical,lata,latb,latc,unit_lat
0,Au0.9Ga0.1,Ga0.1Au0.9,Au,mp-81,0.264,,,,,Au,0.9,Ga,0.1,,,,,,,,,,,,,,,,,,,,
1,Au0.95Ga0.05,Ga0.05Au0.95,Au,mp-81,0.032,,,,,Au,0.95,Ga,0.05,,,,,,,,,,,,,,,,,,,,
2,Ba0.2La1.8Cu1O4-Y,Ba0.2La1.8Cu1O4,La2CuO4,mp-19735,29.0,,,,,Ba,0.2,La,1.8,1.0,,,,,,,,,,,,,O,4-Y,,,,,
3,Ba0.1La1.9Ag0.1Cu0.9O4-Y,Ba0.1La1.9Cu0.9Ag0.1O4,La2CuO4,mp-19735,26.0,,,,,Ba,0.1,La,1.9,0.1,Cu,0.9,,,,,,,,,,,O,4-Y,,,,,
4,Ba0.1La1.9Cu1O4-Y,Ba0.1La1.9Cu1O4,La2CuO4,mp-19735,19.0,,,,,Ba,0.1,La,1.9,1.0,,,,,,,,,,,,,O,4-Y,,,,,
5,Ba0.15La1.85Cu1O4-Y,Ba0.15La1.85Cu1O4,La2CuO4,mp-19735,22.0,,,,,Ba,0.15,La,1.85,1.0,,,,,,,,,,,,,O,4-Y,,,,,
6,Ba0.3La1.7Cu1O4-Y,Ba0.3La1.7Cu1O4,La2CuO4,mp-19735,23.0,,,,,Ba,0.3,La,1.7,1.0,,,,,,,,,,,,,O,4-Y,,,,,
7,Ba0.5La1.5Cu1O4-Y,Ba0.5La1.5Cu1O4,La2CuO4,mp-19735,23.0,,,,,Ba,0.5,La,1.5,1.0,,,,,,,,,,,,,O,4-Y,,,,,
11,Sr0.1La1.9Cu1O4-Y,Sr0.1La1.9Cu1O4,La2CuO4,mp-19735,33.0,,,,,Sr,0.1,La,1.9,1.0,,,,,,,,,,,,,O,4-Y,,,,,
12,Sr0.15La1.85Cu1O4-Y,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,36.0,,,,,Sr,0.15,La,1.85,1.0,,,,,,,,,,,,,O,4-Y,,,,,
13,Sr0.2La1.8Cu1O4-Y,Sr0.2La1.8Cu1O4,La2CuO4,mp-19735,31.0,,,,,Sr,0.2,La,1.8,1.0,,,,,,,,,,,,,O,4-Y,,,,,
14,Sr0.3La1.7Cu1O4-Y,Sr0.3La1.7Cu1O4,La2CuO4,mp-19735,33.0,,,,,Sr,0.3,La,1.7,1.0,,,,,,,,,,,,,O,4-Y,,,,,
15,Ba0.3La1.7Hg0.3Cu0.7O4-Y,Ba0.3La1.7Cu0.7Hg0.3O4,La2CuO4,mp-19735,26.0,,,,,Ba,0.3,La,1.7,0.3,Cu,0.7,,,,,,,,,,,O,4-Y,,,,,
17,Ba0.1La1.9Ag0.05Cu0.95O4-Y,Ba0.1La1.9Cu0.95Ag0.05O4,La2CuO4,mp-19735,27.0,,,,,Ba,0.1,La,1.9,0.05,Cu,0.95,,,,,,,,,,,O,4-Y,,,,,
18,Ba0.1La1.9Ag0.1Cu0.9O4-Y,Ba0.1La1.9Cu0.9Ag0.1O4,La2CuO4,mp-19735,27.0,,,,,Ba,0.1,La,1.9,0.1,Cu,0.9,,,,,,,,,,,O,4-Y,,,,,
19,Ba0.1La1.9Ag0.25Cu0.75O4-Y,Ba0.1La1.9Cu0.75Ag0.25O4,La2CuO4,mp-19735,26.0,,,,,Ba,0.1,La,1.9,0.25,Cu,0.75,,,,,,,,,,,O,4-Y,,,,,
20,Ba0.1La1.9Ag0.5Cu0.5O4-Y,Ba0.1La1.9Cu0.5Ag0.5O4,La2CuO4,mp-19735,27.0,,,,,Ba,0.1,La,1.9,0.5,Cu,0.5,,,,,,,,,,,O,4-Y,,,,,
21,Y1Ba1.5Ca0.5Cu3O7-Z,Ba1.5Ca0.5Y1Cu3O7,Ba2YCu3O7,mp-20674,82.0,,,,,Y,1.0,Ba,1.5,0.5,Cu,3.0,,,,,,,,,,,O,7-Z,,3.762,3.894,3.894,
22,Ba0.15La1.85Cu1O4-Y,Ba0.15La1.85Cu1O4,La2CuO4,mp-19735,30.0,,,,,Ba,0.15,La,1.85,1.0,,,,,,,,,,,,,O,4-Y,,,,,
23,La1.85Ba0.15Cu1O4,Ba0.15La1.85Cu1O4,La2CuO4,mp-19735,30.0,,,,,La,1.85,Ba,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
24,La1.85Sr0.15Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,39.0,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4,,,,,
25,In1Sc1Au2,ScInAu2,ScInAu2,mp-30395,3.02,,,,,In,1.0,Sc,1.0,2.0,,,,,,,,,,,,,,,,,,,
26,In1Y1Au2,YInAu2,YInAu2,mp-22493,1.9,,,,,In,1.0,Y,1.0,2.0,,,,,,,,,,,,,,,,,,,
36,La1.95Sr0.05Cu1O4-Y,Sr0.05La1.95Cu1O4,La2CuO4,mp-19735,14.8,,,,,La,1.95,Sr,0.05,1.0,,,,,,,,,,,,,O,4-Y,,3.794,,,
37,La1.9Sr0.1Cu1O4-Y,Sr0.1La1.9Cu1O4,La2CuO4,mp-19735,30.0,,,,,La,1.9,Sr,0.1,1.0,,,,,,,,,,,,,O,4-Y,,3.786,,,
38,La1.775Sr0.225Cu1O4-Y,Sr0.225La1.775Cu1O4,La2CuO4,mp-19735,35.5,,,,,La,1.775,Sr,0.225,1.0,,,,,,,,,,,,,O,4-Y,,3.771,,,
39,La1.75Sr0.25Cu1O4-Y,Sr0.25La1.75Cu1O4,La2CuO4,mp-19735,23.3,,,,,La,1.75,Sr,0.25,1.0,,,,,,,,,,,,,O,4-Y,,3.774,,,
40,La1.7Sr0.3Cu1O4-Y,Sr0.3La1.7Cu1O4,La2CuO4,mp-19735,18.2,,,,,La,1.7,Sr,0.3,1.0,,,,,,,,,,,,,O,4-Y,,3.774,,,
41,La1.65Sr0.35Cu1O4-Y,Sr0.35La1.65Cu1O4,La2CuO4,mp-19735,18.3,,,,,La,1.65,Sr,0.35,1.0,,,,,,,,,,,,,O,4-Y,,3.771,,,
42,La1.6Sr0.4Cu1O4-Y,Sr0.4La1.6Cu1O4,La2CuO4,mp-19735,18.3,,,,,La,1.6,Sr,0.4,1.0,,,,,,,,,,,,,O,4-Y,,3.769,,,
43,La1.825Sr0.175Cu1O4-Y,Sr0.175La1.825Cu1O4,La2CuO4,mp-19735,37.5,,,,,La,1.825,Sr,0.175,1.0,,,,,,,,,,,,,O,4-Y,,3.778,,,
44,La1.85Ca0.15Cu1O4-Y,Ca0.15La1.85Cu1O4,La2CuO4,mp-19735,20.0,,,,,La,1.85,Ca,0.15,1.0,,,,,,,,,,,,,O,4-Y,,,,,
59,Y1Ba2Cu3OX,Ba2YCu3O7,Ba2YCu3O7,mp-20674,90.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,X,,3.824,3.889,3.889,
61,Y1.2Ba1.8Cu2O7-X,Ba1.8Y1.2Cu2O7,Ba2YCu3O7,mp-20674,92.0,,,,,Y,1.2,Ba,1.8,2.0,,,,,,,,,,,,,O,7-X,,,,,
66,Eu0.4Ba0.6Cu1O3-X,Ba0.6Eu0.4Cu1O3,BaCuO3,mp-1076800,8.0,,,,,Eu,0.4,Ba,0.6,1.0,,,,,,,,,,,,,O,3-X,,,,,
67,Gd0.4Ba0.6Cu1O3-X,Ba0.6Gd0.4Cu1O3,BaCuO3,mp-1076800,13.0,,,,,Gd,0.4,Ba,0.6,1.0,,,,,,,,,,,,,O,3-X,,,,,
68,Dy0.4Ba0.6Cu1O3-X,Ba0.6Dy0.4Cu1O3,BaCuO3,mp-1076800,91.0,,,,,Dy,0.4,Ba,0.6,1.0,,,,,,,,,,,,,O,3-X,,,,,
69,Ho0.4Ba0.6Cu1O3-X,Ba0.6Ho0.4Cu1O3,BaCuO3,mp-1076800,94.0,,,,,Ho,0.4,Ba,0.6,1.0,,,,,,,,,,,,,O,3-X,,,,,
70,Er0.4Ba0.6Cu1O3-X,Ba0.6Er0.4Cu1O3,BaCuO3,mp-1076800,93.0,,,,,Er,0.4,Ba,0.6,1.0,,,,,,,,,,,,,O,3-X,,,,,
71,Tm0.4Ba0.6Cu1O3-X,Ba0.6Tm0.4Cu1O3,BaCuO3,mp-1076800,93.0,,,,,Tm,0.4,Ba,0.6,1.0,,,,,,,,,,,,,O,3-X,,,,,
72,Lu0.4Ba0.6Cu1O3-X,Ba0.6Lu0.4Cu1O3,BaCuO3,mp-1076800,91.0,,,,,Lu,0.4,Ba,0.6,1.0,,,,,,,,,,,,,O,3-X,,,,,
76,Sm1Ba2Cu3OX,Ba2SmCu3O7,Ba2SmCu3O7,mp-21451,43.0,,,,,Sm,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,X,,3.901,,,
82,Y1Ba2Cu3OX,Ba2YCu3O7,Ba2YCu3O7,mp-20674,70.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,X,,,,,
83,Y1Ba2Cu3OX,Ba2YCu3O7,Ba2YCu3O7,mp-20674,90.0,,,,,Y,1.0,Ba,2.0,3.0,,,,,,,,,,,,,O,X,,3.883,3.822,3.822,
85,Y0.3Ba0.7Cu1O3-X,Ba0.7Y0.3Cu1O3,BaCuO3,mp-1076800,95.5,,,,,Y,0.3,Ba,0.7,1.0,,,,,,,,,,,,,O,3-X,,,,,
90,V2Zr1,ZrV2,ZrV2,mp-258,8.0,195.0,17.0,mJ/mol.K2,,V,2.0,Zr,1.0,,,,,,,,,,,,,,,,,,,,
91,Th0.95Zr0.05,Th0.95Zr0.05,Th,mp-11343,0.69,,,,,Th,0.95,Zr,0.05,,,,,,,,,,,,,,,,,5.0605,,,A
92,Th0.3Zr0.7,Th0.3Zr0.7,Zr,mp-8635,2.7,,,,,Th,0.3,Zr,0.7,,,,,,,,,,,,,,,,,3.7272,,,A
93,La1.85Sr0.15Cu1O4-Y,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,35.5,,,,,La,1.85,Sr,0.15,1.0,,,,,,,,,,,,,O,4-Y,,3.782,,,
95,Sr0.35La1.65Cu1O4-Y,Sr0.35La1.65Cu1O4,La2CuO4,mp-19735,26.0,,,,,Sr,0.35,La,1.65,1.0,,,,,,,,,,,,,O,4-Y,,,,,
98,Yb0.4Ba0.6Cu1O3-X,Ba0.6Yb0.4Cu1O3,BaCuO3,mp-1076800,88.0,,,,,Yb,0.4,Ba,0.6,1.0,,,,,,,,,,,,,O,3-X,,,,,
101,Tc0.25Ti0.75,Ti0.75Tc0.25,Ti,mp-6985,2.7,,,,,Tc,0.25,Ti,0.75,,,,,,,,,,,,,,,,,3.181,,,A
105,Ba0.15La1.85Cu1O4,Ba0.15La1.85Cu1O4,La2CuO4,mp-19735,28.0,,,,,Ba,0.15,La,1.85,1.0,,,,,,,,,,,,,O,4,,,,,
106,Sr0.15La1.85Cu1O4,Sr0.15La1.85Cu1O4,La2CuO4,mp-19735,34.7,,,,,Sr,0.15,La,1.85,1.0,,,,,,,,,,,,,O,4,,,,,
108,Sr0.2La1.8Cu0.95Ti0.05O4,Sr0.2La1.8Ti0.05Cu0.95O4,La2CuO4,mp-19735,21.0,,,,,Sr,0.2,La,1.8,0.95,Ti,0.05,,,,,,,,,,,O,4,,,,,
109,Sr0.2La1.8Cu0.99V0.01O4,Sr0.2La1.8V0.01Cu0.99O4,La2CuO4,mp-19735,12.0,,,,,Sr,0.2,La,1.8,0.99,V,0.01,,,,,,,,,,,O,4,,,,,
110,Sr0.2La1.8Cu0.99Cr0.01O4,Sr0.2La1.8Cr0.01Cu0.99O4,La2CuO4,mp-19735,22.0,,,,,Sr,0.2,La,1.8,0.99,Cr,0.01,,,,,,,,,,,O,4,,,,,
111,Sr0.2La1.8Cu0.98Mn0.02O4,Sr0.2La1.8Mn0.02Cu0.98O4,La2CuO4,mp-19735,32.0,,,,,Sr,0.2,La,1.8,0.98,Mn,0.02,,,,,,,,,,,O,4,,,,,
112,Sr0.2La1.8Cu0.95Fe0.05O4,Sr0.2La1.8Fe0.05Cu0.95O4,La2CuO4,mp-19735,30.0,,,,,Sr,0.2,La,1.8,0.95,Fe,0.05,,,,,,,,,,,O,4,,,,,
113,Sr0.2La1.8Cu0.95Co0.05O4,Sr0.2La1.8Co0.05Cu0.95O4,La2CuO4,mp-19735,16.0,,,,,Sr,0.2,La,1.8,0.95,Co,0.05,,,,,,,,,,,O,4,,,,,
114,Sr0.2La1.8Cu0.95Ni0.05O4,Sr0.2La1.8Cu0.95Ni0.05O4,La2CuO4,mp-19735,21.0,,,,,Sr,0.2,La,1.8,0.95,Ni,0.05,,,,,,,,,,,O,4,,,,,
115,Sr0.2La1.8Cu0.99Zn0.01O4,Sr0.2La1.8Zn0.01Cu0.99O4,La2CuO4,mp-19735,29.0,,,,,Sr,0.2,La,1.8,0.99,Zn,0.01,,,,,,,,,,,O,4,,,,,
116,Pr0.1La1.7Sr0.2Cu1O4,Sr0.2La1.7Pr0.1Cu1O4,La2CuO4,mp-19735,36.0,,,,,Pr,0.1,La,1.7,0.2,Cu,1.0,,,,,,,,,,,O,4,,,,,
117,Nd0.1La1.7Sr0.2Cu1O4,Sr0.2La1.7Nd0.1Cu1O4,La2CuO4,mp-19735,35.0,,,,,Nd,0.1,La,1.7,0.2,Cu,1.0,,,,,,,,,,,O,4,,,,,
118,Sm0.1La1.7Sr0.2Cu1O4,Sr0.2La1.7Sm0.1Cu1O4,La2CuO4,mp-19735,32.0,,,,,Sm,0.1,La,1.7,0.2,Cu,1.0,,,,,,,,,,,O,4,,,,,
119,Gd0.1La1.7Sr0.2Cu1O4,Sr0.2La1.7Gd0.1Cu1O4,La2CuO4,mp-19735,30.0,,,,,Gd,0.1,La,1.7,0.2,Cu,1.0,,,,,,,,,,,O,4,,,,,
120,Y1Ba2Cu2.85Fe0.15O7,Ba2Y1Fe0.15Cu2.85O7,Ba2YCu3O7,mp-20674,51.0,,,,,Y,1.0,Ba,2.0,2.85,Fe,0.15,,,,,,,,,,,O,7,,,,,
121,Y1Ba2Cu2.7Fe0.3O7,Ba2Y1Fe0.3Cu2.7O7,Ba2YCu3O7,mp-20674,33.0,,,,,Y,1.0,Ba,2.0,2.7,Fe,0.3,,,,,,,,,,,O,7,,,,,
122,Y1Ba2Cu2.97Fe0.03O7,Ba2Y1Fe0.03Cu2.97O7,Ba2YCu3O7,mp-20674,82.0,,,,,Y,1.0,Ba,2.0,2.97,Fe,0.03,,,,,,,,,,,O,7,,3.822,3.891,3.891,
